paymentGoodputSent:vector PCN.node7 (#0 - General-0-20250701-23:26:39-185936),,paymentGoodputSent:vector PCN.node5 (#0 - General-0-20250701-23:26:39-185936),,paymentGoodputSent:vector PCN.node4 (#0 - General-0-20250701-23:26:39-185936),,paymentGoodputSent:vector PCN.node9 (#0 - General-0-20250701-23:26:39-185936),,paymentGoodputSent:vector PCN.node8 (#0 - General-0-20250701-23:26:39-185936),
4015,0.884057971014490014,4258,1,4090,1,5194.5,0.94202898550724989,4500,0.971014492753619946
4035,0.88571428571428989,4293,1,4151,1,5194.5,0.942857142857139946,4582.5,0.97142857142856997
4085,0.887323943661969978,4293,1,4211.5,1,5194.5,0.943661971830989985,4582.5,0.971830985915489882
4085,0.875,4373.5,1,4240,1,5293.5,0.944444444444439975,4689.5,0.972222222222219875
4157,0.863013698630139988,4373.5,1,4290,1,5395,0.945205479452049907,4728.5,0.958904109589040039
4157,0.864864864864860023,4430.5,1,4290,1,5595.5,0.945945945945950048,4811.5,0.959459459459459869
4172,0.853333333333329943,4458,1,4351,1,5595.5,0.946666666666669872,4811.5,0.95999999999999996
4232.5,0.855263157894739831,4499,0.986842105263159958,4351,0.986842105263159958,5595.5,0.947368421052629856,4833,0.960526315789469894
4294.5,0.857142857142859867,4570,0.987012987012990001,4351,0.987012987012990001,5595.5,0.948051948051950028,4883,0.961038961038960021
4294.5,0.858974358974359916,4570,0.987179487179489886,4526.5,0.987179487179489886,5595.5,0.948717948717950005,4998,0.961538461538459895
4294.5,0.860759493670889992,4831,0.987341772151899994,4526.5,0.987341772151899994,5824.5,0.94936708860759,5112,0.962025316455699993
4380,0.862500000000000041,4956.5,0.98750000000000004,4551.5,0.98750000000000004,5899,0.94999999999999995,5168,0.962499999999999907
4380,0.864197530864200031,4956.5,0.987654320987650043,4635,0.987654320987650043,,,5168,0.962962962962959906
4380,0.865853658536589905,4956.5,0.987804878048780029,4726.5,0.987804878048780029,,,5168,0.963414634146339873
4380,0.867469879518069971,5031.5,0.987951807228919948,4726.5,0.987951807228919948,,,5192,0.963855421686749865
4482,0.869047619047619953,5109,0.976190476190480045,4896.5,0.98809523809523991,,,5200,0.964285714285709968
4482,0.870588235294119879,5109,0.976470588235289978,4995,0.988235294117649982,,,5272,0.964705882352939965
4482,0.872093023255809948,5169,0.976744186046510028,4995,0.988372093023260009,,,5272,0.965116279069770041
4516,0.873563218390799975,5169,0.977011494252870035,5067.5,0.988505747126440011,,,5272,0.965517241379310048
4516,0.875,5218,0.977272727272729953,5080,0.988636363636359976,,,5312,0.965909090909089935
4565.5,0.876404494382019945,5324,0.977528089887639945,5294.5,0.98876404494381997,,,5312,0.966292134831459922
4565.5,0.877777777777779985,5324,0.977777777777779851,5378,0.988888888888890033,,,5312,0.96666666666666989
4601,0.87912087912087999,5398.5,0.978021978021979872,5396,0.989010989010989934,,,5392,0.967032967032970031
4601,0.8804347826087,5418.5,0.978260869565219955,5442,0.989130434782609975,,,5392,0.956521739130429922
4645,0.88172043010752987,5524.5,0.978494623655909996,5442,0.989247311827959882,,,5400,0.946236559139779883
4645,0.882978723404259863,5524.5,0.978723404255319891,5495,0.989361702127659942,,,5472,0.946808510638299956
4682,0.884210526315789997,5599,0.978947368421049898,5578.5,0.989473684210529831,,,5472,0.947368421052629856
4701,0.875,5895.5,0.979166666666669845,5812.5,0.989583333333329925,,,5512,0.947916666666669845
4764.5,0.876288659793809983,5941.5,0.979381443298970031,5824.5,0.989690721649479904,,,5512,0.94845360824741997
4814,0.877551020408160017,5941.5,0.979591836734689853,5841.5,0.989795918367349921,,,5512,0.948979591836729859
4814,0.878787878787880001,6014.5,0.979797979797979885,5841.5,0.989898989898989829,,,5512,0.949494949494949831
4901,0.87999999999999989,6090,0.97999999999999998,5914.5,0.989999999999999988,,,5592,0.94999999999999995
4901,0.881188118811879968,,,,,,,5890,0.950495049504950003
4901,0.882352941176469891,,,,,,,6090,0.950980392156860028
4901,0.883495145631070007,,,,,,,,
4901,0.884615384615379913,,,,,,,,
4901,0.88571428571428989,,,,,,,,
4983,0.886792452830190032,,,,,,,,
4983,0.887850467289719831,,,,,,,,
4983,0.888888888888889945,,,,,,,,
4983,0.889908256880729937,,,,,,,,
4983,0.890909090909089978,,,,,,,,
5089,0.882882882882879856,,,,,,,,
5089,0.883928571428569838,,,,,,,,
5141,0.884955752212389865,,,,,,,,
5289.5,0.885964912280699841,,,,,,,,
5341,0.886956521739129973,,,,,,,,
5414,0.887931034482760003,,,,,,,,
5414,0.888888888888889945,,,,,,,,
5541,0.889830508474579891,,,,,,,,
5614.5,0.890756302521009898,,,,,,,,
5614.5,0.891666666666669934,,,,,,,,
5690,0.89256198347106985,,,,,,,,
5992.5,0.893442622950819882,,,,,,,,
5992.5,0.894308943089429982,,,,,,,,
