paymentGoodputSent:vector PCN.node9 (#0 - General-0-20250701-23:18:59-182200),,paymentGoodputSent:vector PCN.node7 (#0 - General-0-20250701-23:18:59-182200),,paymentGoodputSent:vector PCN.node4 (#0 - General-0-20250701-23:18:59-182200),,paymentGoodputSent:vector PCN.node8 (#0 - General-0-20250701-23:18:59-182200),,paymentGoodputSent:vector PCN.node5 (#0 - General-0-20250701-23:18:59-182200),
1319,0.919999999999999923,2039,0.95999999999999996,1929,1,1375,0.95999999999999996,2902.5,1
1341.5,0.923076923076920016,2162,0.961538461538459895,1929,1,1454,0.961538461538459895,3002.5,1
1379.5,0.925925925925930035,2162,0.962962962962959906,1956,1,1454,0.962962962962959906,3002.5,1
1379.5,0.928571428571429931,2162,0.964285714285709968,1966,1,1454,0.964285714285709968,3103,1
1418,0.931034482758619882,2162,0.931034482758619882,2018,1,1454,0.965517241379310048,3311.5,1
1463,0.933333333333330013,2202,0.933333333333330013,2018,1,1575,0.96666666666666989,3515.5,1
1528,0.93548387096773999,2219,0.93548387096773999,2018,1,1575,0.96774193548386988,3696.5,1
1599,0.9375,2250,0.9375,2018,1,1575,0.96875,3953.5,1
1599,0.939393939393939888,2250,0.939393939393939888,2079.5,1,1654,0.969696969696969941,5409.5,1
1618,0.941176470588239941,2286,0.941176470588239941,2156,0.970588235294119968,1759,0.970588235294119968,5856,1
1618,0.942857142857139946,2286,0.914285714285709923,2156,0.97142857142856997,1854.5,0.97142857142856997,,
1656,0.944444444444439975,2286,0.916666666666669845,2218,0.972222222222219875,1886,0.972222222222219875,,
1677,0.945945945945950048,2349,0.918918918918919965,2247,0.972972972972969914,1919,0.972972972972969914,,
1677,0.947368421052629856,2407,0.894736842105259939,2279.5,0.973684210526319922,1959.5,0.947368421052629856,,
1755,0.948717948717950005,2419,0.897435897435900017,2355.5,0.974358974358970005,1991,0.948717948717950005,,
1755,0.94999999999999995,2507,0.875,2471,0.974999999999999863,2086,0.94999999999999995,,
1774,0.951219512195119904,2552,0.878048780487799881,2513,0.951219512195119904,2170.5,0.92682926829267997,,
1799,0.952380952380949881,2674,0.857142857142859867,2513,0.952380952380949881,2255,0.928571428571429931,,
1895,0.953488372093019837,2707.5,0.860465116279069959,2618.5,0.953488372093019837,2298.5,0.906976744186049895,,
1895,0.954545454545449917,2707.5,0.863636363636359976,2618.5,0.954545454545449917,2349.5,0.909090909090909833,,
1895,0.955555555555559928,2754.5,0.866666666666670023,2618.5,0.955555555555559928,2451.5,0.911111111111109867,,
1930,0.956521739130429922,2754.5,0.869565217391299991,2671,0.93478260869564988,2571,0.891304347826090023,,
1960,0.957446808510640009,2754.5,0.872340425531910043,2671,0.936170212765959903,2571,0.893617021276599917,,
