paymentGoodputSent:vector PCN.node9 (#0 - General-0-20250701-23:02:47-175902),,paymentGoodputSent:vector PCN.node7 (#0 - General-0-20250701-23:02:47-175902),,paymentGoodputSent:vector PCN.node4 (#0 - General-0-20250701-23:02:47-175902),,paymentGoodputSent:vector PCN.node8 (#0 - General-0-20250701-23:02:47-175902),,paymentGoodputSent:vector PCN.node5 (#0 - General-0-20250701-23:02:47-175902),
2346,1,3747,1,4040,0.986842105263159958,2276,0.894736842105259939,,
2373,1,3778.5,1,4053,0.987012987012990001,2290,0.883116883116879855,,
2444,1,3778.5,1,4053,0.987179487179489886,2330,0.884615384615379913,,
2444,1,3778.5,1,4053,0.987341772151899994,2374,0.886075949367089995,,
2487,1,3841,1,4076,0.98750000000000004,2457,0.887499999999999951,,
2487,1,3841,1,4157,0.987654320987650043,2476,0.888888888888889945,,
2516,1,3841,1,4157,0.987804878048780029,2476,0.890243902439019848,,
2569,1,3869,1,4157,0.987951807228919948,2518,0.87951807228916001,,
2610,1,3869,1,4209,0.98809523809523991,2518,0.880952380952380038,,
2610,1,3947,1,4209,0.988235294117649982,2523,0.870588235294119879,,
2625,1,3947,1,4209,0.988372093023260009,2530,0.872093023255809948,,
2666,1,3978.5,1,4250,0.988505747126440011,2615,0.86206896551723999,,
2666,1,4027,1,4276,0.988636363636359976,2633,0.863636363636359976,,
2666,1,4056,1,4302,0.98876404494381997,2676,0.853932584269659897,,
2666,1,4092,1,4357,0.988888888888890033,2729,0.855555555555559839,,
2716,1,4092,1,4371,0.989010989010989934,2762,0.846153846153850026,,
2716,1,4147,1,4409,0.989130434782609975,2790,0.836956521739129929,,
2716,1,4189,1,4476,0.989247311827959882,2790,0.83870967741934987,,
2716,1,4189,1,4476,0.989361702127659942,2854,0.829787234042549833,,
2728,1,4200,1,4476,0.989473684210529831,2876,0.831578947368419858,,
2783,1,4253,1,4500,0.989583333333329925,2876,0.833333333333329925,,
2783,1,4292,1,4500,0.989690721649479904,2960,0.835051546391750051,,
2783,1,4292,1,4521,0.989795918367349921,3033,0.836734693877549948,,
2783,1,4306,1,4521,0.989898989898989829,3076,0.838383838383840005,,
2834,1,4347,1,4557,0.989999999999999988,3076,0.839999999999999853,,
2945,1,4347,1,4585,0.990099009900989864,3140,0.841584158415839885,,
2983,1,4427,1,4637,0.990196078431369915,3160.5,0.843137254901960006,,
2983,1,4427,1,4637,0.990291262135919888,3160.5,0.84466019417476001,,
3056,1,4439,1,4700,0.990384615384619855,3178.5,0.846153846153850026,,
3056,1,4494,1,4757.5,0.990476190476189839,3276.5,0.847619047619049934,,
3056,1,4494,1,4816.5,0.990566037735849831,3276.5,0.839622641509429885,,
3056,1,4523.5,1,4816.5,0.99065420560747985,3285,0.841121495327100007,,
3056,1,4604,1,4957.5,0.990740740740740029,3323,0.84259259259258989,,
3117,1,4604,1,4975.5,0.990825688073389884,3323,0.834862385321099906,,
3145,1,4694.5,1,5056,0.990909090909089847,3354,0.83636363636363997,,
3263.5,1,4714.5,1,5136,0.990990990990989968,3358,0.837837837837839934,,
3263.5,1,4747,1,5200.5,0.991071428571429931,3392,0.839285714285709968,,
3285,1,4747,1,5237.5,0.991150442477879863,3466,0.840707964601769882,,
3343,1,4763,1,5290.5,0.991228070175439896,3492,0.833333333333329925,,
3420,1,4841,1,5408.5,0.991304347826089888,3501,0.834782608695650015,,
3420,1,4999,1,5408.5,0.991379310344829841,3592,0.836206896551719976,,
3463.5,1,5030,1,5537,0.991452991452989923,3592,0.837606837606839956,,
3480,1,5043,1,5744.5,0.991525423728810025,3631,0.838983050847460051,,
3607,1,5199,1,5829.5,0.99159663865545999,3631,0.840336134453779856,,
3607,1,5199,1,5944.5,0.991666666666670023,3696,0.833333333333329925,,
3607,1,5199,1,,,3707,0.826446280991739886,,
3607,1,5230,1,,,3735,0.827868852459019863,,
3663.5,1,5230,1,,,3746,0.821138211382109958,,
3663.5,1,5279,1,,,3780,0.822580645161290032,,
3663.5,1,5315,1,,,3780,0.823999999999999841,,
3697,1,5399,1,,,3840,0.817460317460319882,,
3697,1,5430.5,1,,,3840,0.818897637795279906,,
3807,1,5430.5,1,,,3901,0.8203125,,
3827.5,1,5599.5,1,,,3901,0.821705426356589937,,
3996.5,1,5599.5,1,,,3901,0.823076923076919926,,
3996.5,1,5599.5,1,,,3949,0.816793893129770019,,
4070,1,5599.5,1,,,3997,0.810606060606059882,,
4148,1,5944.5,1,,,4050,0.812030075187969876,,
4207,1,5944.5,1,,,4121,0.813432835820899976,,
4270,1,,,,,4134,0.814814814814809992,,
4270,1,,,,,4149,0.816176470588239941,,
4270,1,,,,,4167,0.810218978102190008,,
4293,1,,,,,4167,0.811594202898549885,,
4348,1,,,,,4197,0.812949640287769832,,
4396.5,1,,,,,4246,0.807142857142860045,,
4396.5,1,,,,,4258,0.80851063829786995,,
